"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","74.41","75.71","77.92","73.78","335.09M","-1.44%"
"11/01/2017","75.50","73.99","76.89","70.02","289.64M","2.72%"
"10/01/2017","73.50","73.07","76.14","70.91","360.49M","1.04%"
"09/01/2017","72.74","68.11","72.97","65.68","299.88M","6.92%"
"08/01/2017","68.03","69.09","69.86","65.86","345.37M","-0.61%"
"07/01/2017","68.45","67.24","68.91","65.52","352.97M","2.35%"
"06/01/2017","66.88","60.89","67.75","60.17","402.24M","10.47%"
"05/01/2017","60.54","59.39","62.69","58.93","343.11M","2.40%"
"04/01/2017","59.12","59.93","61.02","57.55","317.09M","-1.17%"
"03/01/2017","59.82","61.20","62.53","56.55","434.02M","0.02%"
"02/01/2017","59.81","56.72","60.95","55.23","333.12M","7.13%"
"01/01/2017","55.83","60.68","61.63","55.42","417.61M","-6.06%"
"12/01/2016","59.43","56.77","61.30","55.93","450.99M","5.39%"
"11/01/2016","56.39","49.40","56.83","47.70","544.80M","14.73%"
"10/01/2016","49.15","47.02","50.60","46.78","347.27M","4.07%"
"09/01/2016","47.23","47.82","48.17","45.16","386.52M","-1.07%"
"08/01/2016","47.74","43.92","48.18","42.50","369.90M","8.97%"
"07/01/2016","43.81","42.30","45.03","40.03","410.78M","3.35%"
"06/01/2016","42.39","46.04","47.06","38.31","578.75M","-8.98%"
"05/01/2016","46.57","46.54","47.60","42.81","398.30M","0.63%"
"04/01/2016","46.28","41.52","47.84","39.95","436.81M","10.85%"
"03/01/2016","41.75","39.15","44.26","39.10","463.30M","7.46%"
"02/01/2016","38.85","42.36","42.83","34.52","591.32M","-8.76%"
"01/01/2016","42.58","50.75","51.61","39.44","592.16M","-17.72%"
"12/01/2015","51.75","54.40","55.33","50.50","359.27M","-4.33%"
"11/01/2015","54.09","53.45","56.46","52.49","298.95M","1.73%"
"10/01/2015","53.17","49.42","55.06","47.71","389.99M","7.18%"
"09/01/2015","49.61","52.40","53.00","48.47","407.44M","-7.24%"
"08/01/2015","53.48","58.62","59.25","47.10","403.65M","-8.52%"
"07/01/2015","58.46","56.01","60.95","52.77","453.31M","5.83%"
"06/01/2015","55.24","54.68","57.64","54.13","386.09M","2.14%"
"05/01/2015","54.08","53.64","55.37","52.35","294.68M","1.43%"
"04/01/2015","53.32","51.37","54.46","50.98","348.74M","3.49%"
"03/01/2015","51.52","52.43","54.72","50.47","462.03M","-1.72%"
"02/01/2015","52.42","47.20","52.87","46.90","342.47M","11.65%"
"01/01/2015","46.95","54.36","54.69","46.60","498.24M","-13.23%"
"12/01/2014","54.11","53.80","56.95","51.11","394.72M","0.26%"
"11/01/2014","53.97","53.42","54.52","52.63","224.59M","0.82%"
"10/01/2014","53.53","51.68","53.90","48.11","503.41M","3.30%"
"09/01/2014","51.82","51.78","54.13","51.12","340.62M","0.33%"
"08/01/2014","51.65","48.59","52.39","47.65","290.36M","5.60%"
"07/01/2014","48.91","47.42","50.59","46.55","386.19M","3.84%"
"06/01/2014","47.10","47.60","49.59","46.92","342.95M","-0.99%"
"05/01/2014","47.57","47.81","48.35","46.08","316.71M","-0.71%"
"04/01/2014","47.91","47.72","48.62","45.18","525.33M","0.65%"
"03/01/2014","47.60","47.80","51.00","46.79","663.22M","-2.12%"
"02/01/2014","48.63","47.84","50.15","46.19","506.71M","2.53%"
"01/01/2014","47.43","52.03","55.28","47.29","675.11M","-8.98%"
"12/01/2013","52.11","52.96","53.41","50.27","402.25M","-1.53%"
"11/01/2013","52.92","48.87","53.68","48.23","427.67M","8.49%"
"10/01/2013","48.78","48.85","51.57","47.60","548.99M","0.56%"
"09/01/2013","48.51","49.37","52.88","47.83","469.49M","0.37%"
"08/01/2013","48.33","52.84","53.20","47.64","470.46M","-7.31%"
"07/01/2013","52.14","48.50","53.30","46.70","570.57M","8.69%"
"06/01/2013","47.97","52.06","52.62","45.06","728.80M","-7.73%"
"05/01/2013","51.99","46.48","53.56","45.49","626.99M","11.42%"
"04/01/2013","46.66","44.32","47.68","41.60","627.68M","5.47%"
"03/01/2013","44.24","41.56","47.92","41.02","706.19M","5.41%"
"02/01/2013","41.97","42.48","44.71","40.28","537.22M","-0.45%"
"01/01/2013","42.16","40.91","43.34","40.70","770.40M","6.57%"
"12/01/2012","39.56","34.96","40.18","34.07","764.25M","14.43%"
"11/01/2012","34.57","37.57","38.50","34.04","748.95M","-7.54%"
"10/01/2012","37.39","33.00","38.72","32.70","939.17M","14.27%"
"09/01/2012","32.72","29.53","35.25","29.53","734.54M","10.13%"
"08/01/2012","29.71","27.30","31.12","26.00","678.81M","9.51%"
"07/01/2012","27.13","27.47","27.93","24.91","724.45M","-1.02%"
"06/01/2012","27.41","25.86","29.31","24.61","921.33M","3.39%"
"05/01/2012","26.51","32.92","33.91","25.75","950.22M","-19.79%"
"04/01/2012","33.05","36.40","37.14","32.46","747.66M","-9.58%"
"03/01/2012","36.55","33.52","38.40","31.77","1.04B","9.69%"
"02/01/2012","33.32","31.27","34.74","31.07","875.53M","8.46%"
"01/01/2012","30.72","27.13","32.09","27.13","1.09B","16.76%"
"12/01/2011","26.31","27.08","30.14","24.40","1.08B","-4.26%"
"11/01/2011","27.48","28.92","31.55","23.30","1.14B","-13.01%"
"10/01/2011","31.59","25.16","34.40","21.40","1.44B","23.35%"
"09/01/2011","25.61","30.93","31.05","23.19","974.59M","-17.52%"
"08/01/2011","31.05","39.34","39.38","25.40","1.45B","-19.01%"
"07/01/2011","38.34","41.53","43.06","36.92","699.69M","-7.93%"
"06/01/2011","41.64","40.99","42.00","36.76","987.74M","1.19%"
"05/01/2011","41.15","46.00","46.00","39.41","832.97M","-10.35%"
"04/01/2011","45.90","44.55","46.90","43.50","804.64M","3.85%"
"03/01/2011","44.20","47.00","47.00","43.40","995.82M","-5.56%"
"02/01/2011","46.80","48.61","49.60","45.70","824.19M","-2.90%"
"01/01/2011","48.20","47.80","51.50","47.20","1.27B","1.90%"
"12/01/2010","47.30","42.80","48.50","42.60","1.34B","12.62%"
"11/01/2010","42.00","41.80","45.20","41.00","907.91M","0.72%"
"10/01/2010","41.70","39.80","43.00","39.10","1.20B","6.65%"
"09/01/2010","39.10","37.50","40.20","37.40","827.00M","5.42%"
"08/01/2010","37.09","41.90","42.00","36.30","837.93M","-9.54%"
"07/01/2010","41.00","38.30","43.00","36.20","1.05B","9.04%"
"06/01/2010","37.60","39.00","40.70","36.20","1.41B","-5.05%"
"05/01/2010","39.60","44.60","44.80","35.30","1.90B","-9.38%"
"04/01/2010","43.70","41.10","50.70","40.20","1.89B","7.90%"
"03/01/2010","40.50","34.20","44.10","33.44","1.42B","19.12%"
"02/01/2010","34.00","33.60","34.80","31.10","591.85M","2.41%"
"01/01/2010","33.20","33.60","37.00","31.40","1.08B","0.30%"
"12/01/2009","33.10","41.50","42.10","31.30","1.50B","-19.46%"
"11/01/2009","41.10","41.00","43.10","38.10","576.98M","0.49%"
"10/01/2009","40.90","47.50","50.00","40.00","996.48M","-15.50%"
"09/01/2009","48.40","49.20","50.20","41.10","1.71B","-3.20%"
"08/01/2009","50.00","32.90","54.30","31.10","2.28B","57.73%"
"07/01/2009","31.70","30.00","33.70","25.50","895.50M","6.73%"
"06/01/2009","29.70","37.60","37.70","29.00","443.04M","-20.16%"
"05/01/2009","37.20","31.10","44.10","29.60","766.46M","21.97%"
"04/01/2009","30.50","24.80","44.80","24.30","1.09B","20.55%"
"03/01/2009","25.30","15.00","38.90","9.70","1.55B","68.67%"
"02/01/2009","15.00","33.90","41.00","14.00","644.46M","-57.75%"
"01/01/2009","35.50","68.70","75.85","28.00","523.31M","-47.09%"
"12/01/2008","67.10","79.00","90.00","59.36","369.17M","-19.06%"
"11/01/2008","82.90","136.50","148.10","30.50","584.01M","-39.27%"
"10/01/2008","136.50","208.50","235.00","115.40","364.03M","-33.45%"
"09/01/2008","205.10","196.30","225.30","128.50","318.74M","8.00%"
"08/01/2008","189.90","189.50","205.00","168.50","155.66M","1.61%"
"07/01/2008","186.90","165.70","222.10","140.10","281.65M","11.52%"
"06/01/2008","167.60","217.00","218.60","165.80","217.29M","-23.44%"
"05/01/2008","218.90","252.30","270.00","210.10","158.08M","-13.38%"
"04/01/2008","252.70","226.10","273.50","221.80","193.47M","17.97%"
"03/01/2008","214.20","237.20","243.60","179.90","254.80M","-9.66%"
"02/01/2008","237.10","282.80","297.30","234.90","177.72M","-15.83%"
"01/01/2008","281.70","297.30","298.90","223.60","269.78M","-4.31%"
"12/01/2007","294.40","333.00","352.90","288.00","149.57M","-11.59%"
"11/01/2007","333.00","386.20","393.50","295.00","262.08M","-20.53%"
"10/01/2007","419.00","458.90","489.50","404.40","121.29M","-10.22%"
"09/01/2007","466.70","469.60","490.00","448.30","61.83M","-0.45%"
"08/01/2007","468.80","464.00","499.00","446.60","105.75M","0.67%"
"07/01/2007","465.70","513.00","529.70","465.00","67.25M","-9.20%"
"06/01/2007","512.90","546.70","547.50","504.80","45.14M","-5.87%"
"05/01/2007","544.90","538.00","555.50","525.80","53.28M","1.62%"
"04/01/2007","536.20","513.10","547.10","504.10","42.37M","4.44%"
"03/01/2007","513.40","497.50","525.00","480.50","49.83M","1.93%"
"02/01/2007","503.70","551.30","555.00","495.60","36.45M","-8.63%"
"01/01/2007","551.30","556.60","562.80","535.00","36.09M","-1.02%"
"12/01/2006","557.00","495.90","570.00","488.30","43.67M","12.32%"
"11/01/2006","495.90","505.50","509.50","494.30","30.69M","-1.14%"
"10/01/2006","501.60","496.80","513.30","492.80","37.58M","0.99%"
"09/01/2006","496.70","497.00","503.50","484.20","25.61M","0.65%"
"08/01/2006","493.50","483.10","497.10","472.20","26.94M","2.15%"
"07/01/2006","483.10","486.00","497.30","462.20","30.80M","0.12%"
"06/01/2006","482.50","493.80","504.10","474.70","34.87M","-2.13%"
"05/01/2006","493.00","500.00","507.20","484.30","35.28M","-1.30%"
"04/01/2006","499.50","474.10","499.50","471.50","29.91M","5.76%"
"03/01/2006","472.30","463.90","480.10","458.00","31.20M","1.85%"
"02/01/2006","463.70","465.90","471.30","448.10","26.97M","-0.45%"
"01/01/2006","465.80","490.00","495.80","456.30","33.81M","-4.02%"
"12/01/2005","485.30","489.60","497.30","482.00","28.00M","-0.04%"
"11/01/2005","485.50","459.50","497.60","452.10","33.37M","6.05%"
"10/01/2005","457.80","457.40","462.50","440.00","32.11M","0.57%"
"09/01/2005","455.20","436.00","458.70","433.80","28.99M","4.00%"
"08/01/2005","437.70","436.00","444.30","429.10","34.76M","0.62%"
"07/01/2005","435.00","465.00","468.10","435.00","37.31M","-5.91%"
"06/01/2005","462.30","471.20","481.00","462.00","23.64M","-1.87%"
"05/01/2005","471.10","469.60","481.40","449.00","24.24M","0.32%"
"04/01/2005","469.60","454.00","471.50","438.00","32.00M","4.49%"
"03/01/2005","449.40","479.30","486.80","440.50","36.58M","-5.83%"
"02/01/2005","477.20","493.00","499.90","476.00","26.03M","-2.71%"
"01/01/2005","490.50","490.00","493.00","472.50","30.83M","1.81%"
"12/01/2004","481.80","450.30","490.60","449.30","28.72M","7.66%"
