"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","45.88","45.80","46.48","44.92","207.95M","0.24%"
"11/01/2017","45.77","45.75","47.48","45.03","217.68M","-0.46%"
"10/01/2017","45.98","45.05","46.79","44.74","192.36M","2.16%"
"09/01/2017","45.01","45.64","46.98","44.38","198.00M","-1.19%"
"08/01/2017","45.55","45.97","46.34","45.25","208.67M","-0.63%"
"07/01/2017","45.84","45.11","46.42","44.15","195.37M","2.21%"
"06/01/2017","44.85","45.45","46.06","44.65","241.61M","-1.36%"
"05/01/2017","45.47","43.15","45.70","43.10","250.59M","5.38%"
"04/01/2017","43.15","42.58","43.79","42.27","232.47M","1.67%"
"03/01/2017","42.44","42.01","42.70","41.74","339.19M","1.14%"
"02/01/2017","41.96","41.52","42.15","40.22","333.98M","0.94%"
"01/01/2017","41.57","41.50","42.25","40.69","240.34M","0.27%"
"12/01/2016","41.46","40.31","42.22","39.88","283.87M","2.75%"
"11/01/2016","40.35","42.40","42.98","40.35","316.57M","-4.83%"
"10/01/2016","42.40","42.31","43.03","41.40","264.84M","0.19%"
"09/01/2016","42.32","43.21","43.83","41.85","251.09M","-2.56%"
"08/01/2016","43.43","43.69","44.33","43.08","235.12M","-0.46%"
"07/01/2016","43.63","45.32","45.94","43.10","236.07M","-3.75%"
"06/01/2016","45.33","44.60","46.01","43.31","265.52M","1.64%"
"05/01/2016","44.60","44.57","45.90","43.94","230.30M","-0.45%"
"04/01/2016","44.80","46.14","47.13","42.87","317.34M","-3.43%"
"03/01/2016","46.39","43.38","46.88","43.17","347.24M","7.56%"
"02/01/2016","43.13","42.60","44.18","41.90","304.13M","0.49%"
"01/01/2016","42.92","42.34","43.26","40.75","317.92M","-0.09%"
"12/01/2015","42.96","42.73","43.91","41.97","286.67M","0.80%"
"11/01/2015","42.62","42.32","43.60","41.34","252.13M","0.64%"
"10/01/2015","42.35","40.22","43.85","39.36","366.57M","5.56%"
"09/01/2015","40.12","38.67","40.23","37.84","347.28M","2.03%"
"08/01/2015","39.32","40.85","42.25","36.56","343.08M","-4.28%"
"07/01/2015","41.08","39.38","41.60","39.22","268.10M","4.72%"
"06/01/2015","39.23","41.36","41.40","39.12","288.29M","-4.22%"
"05/01/2015","40.96","40.58","41.69","40.39","230.59M","0.99%"
"04/01/2015","40.56","40.79","41.61","40.10","284.02M","0.02%"
"03/01/2015","40.55","43.12","43.28","39.61","370.74M","-6.35%"
"02/01/2015","43.30","41.21","43.66","40.90","291.65M","5.17%"
"01/01/2015","41.17","42.26","43.83","41.11","293.09M","-2.49%"
"12/01/2014","42.22","44.18","44.76","39.80","326.89M","-5.82%"
"11/01/2014","44.83","41.79","45.00","41.59","254.12M","7.04%"
"10/01/2014","41.88","42.55","44.87","40.10","529.89M","-1.83%"
"09/01/2014","42.66","41.52","42.81","41.18","314.88M","2.25%"
