"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","1,309.30","1,277.90","1,309.80","1,238.30","4.98M","2.55%"
"11/01/2017","1,276.70","1,271.80","1,300.40","1,265.90","7.44M","0.49%"
"10/01/2017","1,270.50","1,282.20","1,308.40","1,262.80","6.43M","-1.11%"
"09/01/2017","1,284.80","1,326.90","1,362.40","1,278.20","6.62M","-2.83%"
"08/01/2017","1,322.20","1,275.60","1,331.90","1,257.10","6.55M","3.83%"
"07/01/2017","1,273.40","1,241.70","1,277.30","1,204.00","4.85M","2.50%"
"06/01/2017","1,242.30","1,271.60","1,298.80","1,236.50","4.67M","-2.60%"
"05/01/2017","1,275.40","1,269.60","1,276.80","1,214.30","5.37M","0.56%"
"04/01/2017","1,268.30","1,251.90","1,297.40","1,245.40","4.43M","1.37%"
"03/01/2017","1,251.20","1,248.50","1,261.00","1,194.50","5.08M","-0.22%"
"02/01/2017","1,253.90","1,212.20","1,264.90","1,199.70","4.17M","3.51%"
"01/01/2017","1,211.40","1,151.40","1,220.10","1,146.50","4.85M","5.18%"
"12/01/2016","1,151.70","1,175.10","1,190.20","1,124.30","3.30M","-1.89%"
"11/01/2016","1,173.90","1,277.80","1,338.30","1,170.30","5.98M","-7.79%"
"10/01/2016","1,273.10","1,321.00","1,322.60","1,243.20","3.49M","-3.34%"
"09/01/2016","1,317.10","1,311.70","1,357.60","1,305.50","3.66M","0.43%"
"08/01/2016","1,311.40","1,357.20","1,374.20","1,306.90","3.98M","-3.40%"
"07/01/2016","1,357.50","1,324.80","1,377.50","1,310.70","4.61M","2.79%"
"06/01/2016","1,320.60","1,217.90","1,362.60","1,208.20","4.54M","8.47%"
"05/01/2016","1,217.50","1,293.20","1,306.00","1,201.50","4.63M","-5.66%"
"04/01/2016","1,290.50","1,234.10","1,299.00","1,210.30","3.66M","4.44%"
"03/01/2016","1,235.60","1,238.90","1,287.80","1,206.00","4.59M","0.10%"
"02/01/2016","1,234.40","1,118.00","1,263.90","1,115.30","4.08M","10.57%"
"01/01/2016","1,116.40","1,061.50","1,128.00","1,061.00","3.23M","5.30%"
"12/01/2015","1,060.20","1,064.60","1,088.30","1,045.40","2.56M","-0.48%"
"11/01/2015","1,065.30","1,141.30","1,142.70","1,051.60","3.17M","-6.67%"
"10/01/2015","1,141.40","1,114.50","1,191.70","1,103.80","2.91M","2.35%"
"09/01/2015","1,115.20","1,133.80","1,156.40","1,097.70","2.67M","-1.53%"
"08/01/2015","1,132.50","1,095.10","1,169.80","1,080.20","3.18M","3.42%"
"07/01/2015","1,095.10","1,172.40","1,174.40","1,072.30","3.60M","-6.55%"
"06/01/2015","1,171.80","1,189.80","1,205.70","1,162.10","2.70M","-1.51%"
"05/01/2015","1,189.80","1,183.70","1,232.00","1,168.40","2.95M","0.63%"
"04/01/2015","1,182.40","1,183.20","1,224.50","1,174.10","2.87M","-0.07%"
"03/01/2015","1,183.20","1,213.80","1,223.00","1,141.60","3.42M","-2.46%"
"02/01/2015","1,213.10","1,283.00","1,286.50","1,190.00","2.39M","-5.17%"
"01/01/2015","1,279.20","1,184.00","1,307.80","1,167.30","3.64M","8.03%"
"12/01/2014","1,184.10","1,159.40","1,239.00","1,141.70","3.10M","0.73%"
"11/01/2014","1,175.50","1,171.10","1,207.60","1,130.40","3.77M","0.33%"
"10/01/2014","1,171.60","1,209.40","1,255.60","1,160.50","3.49M","-3.30%"
"09/01/2014","1,211.60","1,288.50","1,290.90","1,204.30","2.97M","-5.89%"
"08/01/2014","1,287.40","1,284.20","1,324.30","1,273.40","2.19M","0.36%"
"07/01/2014","1,282.80","1,327.50","1,346.80","1,281.30","3.07M","-2.97%"
"06/01/2014","1,322.00","1,250.50","1,330.40","1,240.20","2.38M","6.10%"
"05/01/2014","1,246.00","1,291.90","1,315.80","1,242.20","2.88M","-3.85%"
"04/01/2014","1,295.90","1,284.60","1,331.40","1,268.40","2.49M","0.94%"
"03/01/2014","1,283.80","1,332.40","1,392.60","1,282.70","3.37M","-2.86%"
"02/01/2014","1,321.60","1,242.00","1,345.60","1,240.40","2.40M","6.60%"
"01/01/2014","1,239.80","1,204.50","1,279.80","1,202.50","2.93M","3.12%"
"12/01/2013","1,202.30","1,250.60","1,267.50","1,181.40","2.62M","-3.85%"
"11/01/2013","1,250.40","1,323.10","1,327.30","1,225.70","2.76M","-5.54%"
"10/01/2013","1,323.70","1,328.20","1,361.80","1,251.00","3.28M","-0.25%"
"09/01/2013","1,327.00","1,394.00","1,416.40","1,291.50","3.11M","-4.95%"
"08/01/2013","1,396.10","1,323.40","1,434.00","1,271.80","3.22M","6.33%"
"07/01/2013","1,313.00","1,232.90","1,348.70","1,206.90","3.68M","7.30%"
"06/01/2013","1,223.70","1,388.80","1,423.30","1,179.40","3.49M","-12.15%"
"05/01/2013","1,393.00","1,475.60","1,487.20","1,336.30","4.33M","-5.37%"
"04/01/2013","1,472.10","1,598.10","1,604.30","1,321.50","4.83M","-7.75%"
"03/01/2013","1,595.70","1,578.50","1,616.50","1,560.40","2.94M","1.12%"
"02/01/2013","1,578.10","1,665.20","1,687.00","1,554.30","3.31M","-5.05%"
"01/01/2013","1,662.00","1,676.40","1,697.80","1,626.00","3.34M","-0.82%"
"12/01/2012","1,675.80","1,715.50","1,725.00","1,636.00","2.45M","-2.15%"
"11/01/2012","1,712.70","1,720.40","1,755.00","1,672.50","3.45M","-0.37%"
"10/01/2012","1,719.10","1,773.70","1,798.10","1,698.70","2.93M","-3.09%"
"09/01/2012","1,773.90","1,693.40","1,790.00","1,687.60","3.16M","5.11%"
"08/01/2012","1,687.60","1,617.50","1,695.50","1,586.30","2.56M","4.52%"
"07/01/2012","1,614.60","1,599.60","1,633.30","1,554.40","2.93M","0.65%"
"06/01/2012","1,604.20","1,561.80","1,642.40","1,545.50","3.27M","2.56%"
"05/01/2012","1,564.20","1,666.10","1,672.30","1,526.70","3.94M","-6.01%"
"04/01/2012","1,664.20","1,671.50","1,685.40","1,613.00","2.58M","-0.46%"
"03/01/2012","1,671.90","1,695.60","1,727.30","1,627.50","3.87M","-2.30%"
"02/01/2012","1,711.30","1,739.80","1,792.70","1,688.40","3.23M","-1.67%"
"01/01/2012","1,740.40","1,571.00","1,750.60","1,566.80","3.16M","11.08%"
"12/01/2011","1,566.80","1,752.50","1,767.10","1,523.90","2.69M","-10.48%"
