"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","85.54","83.60","87.50","80.70","466.20M","1.63%"
"11/01/2017","84.17","83.68","85.06","82.24","421.93M","1.19%"
"10/01/2017","83.18","74.71","86.20","73.71","449.95M","11.67%"
"09/01/2017","74.49","74.71","75.97","72.92","376.67M","-0.37%"
"08/01/2017","74.77","73.10","74.96","71.28","442.76M","2.85%"
"07/01/2017","72.70","69.33","74.42","68.02","469.85M","5.47%"
"06/01/2017","68.93","70.24","72.89","68.09","629.72M","-1.30%"
"05/01/2017","69.84","68.68","70.74","67.14","517.29M","2.02%"
"04/01/2017","68.46","65.81","69.14","64.85","433.19M","3.95%"
"03/01/2017","65.86","64.13","66.19","63.62","489.17M","2.94%"
"02/01/2017","63.98","64.36","65.24","62.75","440.74M","-1.04%"
"01/01/2017","64.65","62.79","65.91","61.95","494.44M","4.04%"
"12/01/2016","62.14","60.11","64.10","58.80","513.58M","3.12%"
"11/01/2016","60.26","59.97","61.41","57.28","613.06M","0.57%"
"10/01/2016","59.92","57.41","61.37","56.31","614.84M","4.03%"
"09/01/2016","57.60","57.01","58.19","55.61","526.86M","0.24%"
"08/01/2016","57.46","56.60","58.70","56.14","467.08M","1.38%"
"07/01/2016","56.68","51.13","57.29","50.39","647.59M","10.77%"
"06/01/2016","51.17","52.44","52.95","48.03","823.99M","-3.45%"
"05/01/2016","53.00","50.00","53.00","49.46","530.87M","6.28%"
"04/01/2016","49.87","55.05","56.77","49.35","699.03M","-9.70%"
"03/01/2016","55.23","50.97","55.64","50.58","641.13M","8.55%"
"02/01/2016","50.88","54.88","55.09","48.19","814.77M","-7.64%"
"01/01/2016","55.09","54.32","55.39","49.10","927.91M","-0.70%"
"12/01/2015","55.48","54.41","56.85","53.68","793.07M","2.08%"
"11/01/2015","54.35","52.85","54.98","52.53","662.63M","3.25%"
"10/01/2015","52.64","44.75","54.37","43.75","857.33M","18.93%"
"09/01/2015","44.26","42.17","45.00","41.66","673.08M","1.70%"
"08/01/2015","43.52","46.98","48.41","39.72","776.50M","-6.81%"
"07/01/2015","46.70","44.46","47.40","43.32","725.46M","5.78%"
"06/01/2015","44.15","47.06","47.77","43.94","664.85M","-5.78%"
"05/01/2015","46.86","48.58","48.91","46.02","633.07M","-3.66%"
"04/01/2015","48.64","40.60","49.54","40.12","874.54M","19.63%"
"03/01/2015","40.66","43.67","44.19","40.54","824.34M","-7.27%"
"02/01/2015","43.85","40.59","44.30","40.23","656.51M","8.54%"
"01/01/2015","40.40","46.66","47.91","40.35","918.97M","-13.02%"
"12/01/2014","46.45","47.88","49.06","44.90","626.81M","-2.84%"
"11/01/2014","47.81","46.89","50.05","46.73","523.01M","1.83%"
"10/01/2014","46.95","46.27","46.97","42.10","853.30M","1.27%"
"09/01/2014","46.36","45.43","47.57","44.53","860.84M","2.05%"
"08/01/2014","45.43","43.21","45.47","42.21","513.93M","5.26%"
"07/01/2014","43.16","41.86","45.71","41.05","731.66M","3.50%"
"06/01/2014","41.70","40.95","42.29","39.86","555.81M","1.86%"
"05/01/2014","40.94","40.24","40.97","38.51","574.40M","1.34%"
"04/01/2014","40.40","41.15","41.66","38.90","746.15M","-1.44%"
"03/01/2014","40.99","37.92","41.50","37.49","778.55M","7.00%"
"02/01/2014","38.31","37.74","38.46","35.69","718.23M","1.24%"
"01/01/2014","37.84","37.35","37.89","34.63","932.09M","1.15%"
"12/01/2013","37.41","38.09","38.98","35.53","826.64M","-1.89%"
"11/01/2013","38.13","35.67","38.29","35.39","800.46M","7.68%"
"10/01/2013","35.41","33.35","36.29","32.80","965.36M","6.40%"
"09/01/2013","33.28","31.75","33.75","30.95","1.25B","-0.36%"
"08/01/2013","33.40","32.06","35.20","30.84","1.05B","4.90%"
"07/01/2013","31.84","34.75","36.43","31.02","1.11B","-7.84%"
"06/01/2013","34.55","34.92","35.78","32.57","945.22M","-1.00%"
"05/01/2013","34.90","32.93","35.28","32.32","1.07B","5.44%"
"04/01/2013","33.10","28.64","33.11","28.11","1.47B","15.69%"
"03/01/2013","28.61","27.72","28.66","27.52","845.03M","2.91%"
"02/01/2013","27.80","27.67","28.20","27.10","780.65M","1.28%"
"01/01/2013","27.45","27.25","28.23","26.28","1.15B","2.77%"
"12/01/2012","26.71","26.78","27.73","26.26","947.41M","0.38%"
"11/01/2012","26.61","28.84","30.20","26.34","1.31B","-6.76%"
"10/01/2012","28.54","29.81","30.25","27.76","1.11B","-4.10%"
"09/01/2012","29.76","30.45","31.61","29.74","893.17M","-3.44%"
"08/01/2012","30.82","29.59","30.96","28.97","671.80M","4.58%"
"07/01/2012","29.47","30.62","31.05","28.54","846.66M","-3.66%"
"06/01/2012","30.59","28.76","31.14","28.32","973.17M","4.80%"
"05/01/2012","29.19","32.05","32.34","28.64","1.01B","-8.84%"
"04/01/2012","32.02","32.22","32.89","30.23","940.74M","-0.74%"
"03/01/2012","32.26","31.93","32.95","31.49","942.42M","1.64%"
"02/01/2012","31.74","29.79","32.00","29.71","984.40M","7.48%"
"01/01/2012","29.53","26.55","29.95","26.39","1.35B","13.75%"
"12/01/2011","25.96","25.56","26.19","25.16","1.01B","1.49%"
"11/01/2011","25.58","26.19","27.20","24.30","1.05B","-3.94%"
"10/01/2011","26.63","24.72","27.50","24.26","1.22B","6.99%"
"09/01/2011","24.89","26.46","27.50","24.60","1.28B","-6.43%"
"08/01/2011","26.60","27.51","27.68","23.79","1.72B","-2.92%"
"07/01/2011","27.40","25.93","28.14","25.84","1.26B","5.38%"
"06/01/2011","26.00","24.99","26.00","23.65","1.30B","3.96%"
"05/01/2011","25.01","25.94","26.25","24.03","1.36B","-3.51%"
"04/01/2011","25.92","25.53","26.87","24.72","1.31B","2.09%"
"03/01/2011","25.39","26.60","26.78","24.68","1.31B","-4.48%"
"02/01/2011","26.58","27.80","28.34","26.43","1.11B","-4.15%"
"01/01/2011","27.73","28.05","29.46","27.42","1.36B","-0.64%"
"12/01/2010","27.91","25.57","28.40","25.56","1.03B","10.49%"
"11/01/2010","25.26","26.88","27.49","24.93","1.36B","-5.25%"
"10/01/2010","26.66","24.77","27.20","23.78","1.28B","8.86%"
"09/01/2010","24.49","23.67","25.53","23.54","1.27B","4.39%"
"08/01/2010","23.46","25.99","26.38","23.32","1.28B","-9.10%"
"07/01/2010","25.81","23.09","26.41","22.73","1.41B","12.17%"
"06/01/2010","23.01","25.53","26.93","22.95","1.67B","-10.81%"
"05/01/2010","25.80","30.67","31.06","24.56","1.72B","-15.52%"
"04/01/2010","30.54","29.35","31.58","28.62","1.32B","4.27%"
"03/01/2010","29.29","28.77","30.57","28.24","1.11B","2.16%"
"02/01/2010","28.67","28.39","29.03","27.57","1.07B","1.74%"
"01/01/2010","28.18","30.62","31.24","27.66","1.36B","-7.55%"
"12/01/2009","30.48","29.52","31.50","29.25","920.65M","3.64%"
"11/01/2009","29.41","27.70","30.14","27.41","1.02B","6.06%"
"10/01/2009","27.73","25.41","29.35","24.43","1.52B","7.81%"
"09/01/2009","25.72","24.35","26.25","23.76","1.04B","4.34%"
"08/01/2009","24.65","23.82","25.49","23.03","993.31M","4.80%"
"07/01/2009","23.52","24.05","25.72","22.00","1.52B","-1.05%"
"06/01/2009","23.77","21.00","24.34","20.86","1.41B","13.79%"
"05/01/2009","20.89","20.19","20.94","19.01","1.10B","3.11%"
"04/01/2009","20.26","18.23","21.20","18.18","1.56B","10.29%"
"03/01/2009","18.37","15.96","18.88","14.87","1.63B","13.75%"
"02/01/2009","16.15","17.03","19.93","16.10","1.46B","-5.56%"
"01/01/2009","17.10","19.53","21.00","16.75","1.57B","-12.04%"
"12/01/2008","19.44","19.88","21.25","18.47","1.55B","-3.86%"
"11/01/2008","20.22","22.48","23.66","17.50","1.80B","-9.45%"
"10/01/2008","22.33","26.38","27.47","20.65","3.05B","-16.34%"
"09/01/2008","26.69","27.66","27.76","23.50","1.93B","-2.20%"
"08/01/2008","27.29","25.92","28.50","25.07","1.21B","6.10%"
"07/01/2008","25.72","27.27","27.91","24.87","1.64B","-6.51%"
"06/01/2008","27.51","28.24","29.57","27.11","1.57B","-2.86%"
"05/01/2008","28.32","28.50","30.53","27.95","1.41B","-0.70%"
"04/01/2008","28.52","28.83","32.10","27.93","1.45B","0.49%"
"03/01/2008","28.38","27.24","29.59","26.87","1.45B","4.34%"
"02/01/2008","27.20","31.05","33.25","27.02","2.32B","-16.56%"
