"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","2,673.61","2,645.10","2,694.97","2,605.52","","0.98%"
"11/01/2017","2,647.58","2,583.21","2,657.74","2,557.45","","2.81%"
"10/01/2017","2,575.26","2,521.20","2,582.98","2,520.40","","2.22%"
"09/01/2017","2,519.36","2,474.42","2,519.44","2,446.55","","1.93%"
"08/01/2017","2,471.65","2,477.10","2,490.87","2,417.35","","0.05%"
"07/01/2017","2,470.30","2,431.39","2,484.04","2,407.70","","1.93%"
"06/01/2017","2,423.41","2,415.65","2,453.82","2,405.70","","0.48%"
"05/01/2017","2,411.80","2,388.50","2,418.71","2,352.72","","1.16%"
"04/01/2017","2,384.20","2,362.34","2,398.16","2,328.95","","0.91%"
"03/01/2017","2,362.72","2,380.13","2,400.98","2,322.25","","-0.04%"
"02/01/2017","2,363.64","2,285.59","2,371.54","2,271.65","","3.72%"
"01/01/2017","2,278.87","2,251.57","2,300.99","2,245.13","","1.79%"
"12/01/2016","2,238.83","2,200.17","2,277.53","2,187.44","","1.82%"
"11/01/2016","2,198.81","2,128.68","2,214.10","2,083.79","","3.42%"
"10/01/2016","2,126.15","2,164.33","2,169.60","2,114.72","","-1.94%"
"09/01/2016","2,168.27","2,171.33","2,187.87","2,119.12","","-0.12%"
"08/01/2016","2,170.95","2,173.15","2,193.81","2,147.58","","-0.12%"
"07/01/2016","2,173.60","2,099.34","2,177.09","2,074.02","","3.56%"
"06/01/2016","2,098.86","2,093.94","2,120.55","1,991.68","","0.09%"
"05/01/2016","2,096.96","2,067.17","2,103.48","2,025.91","","1.53%"
"04/01/2016","2,065.30","2,056.62","2,111.05","2,033.80","","0.27%"
"03/01/2016","2,059.74","1,937.09","2,072.21","1,937.09","","6.60%"
"02/01/2016","1,932.23","1,936.94","1,962.96","1,810.10","","-0.41%"
"01/01/2016","1,940.24","2,038.20","2,038.20","1,812.29","","-5.07%"
"12/01/2015","2,043.94","2,082.93","2,104.27","1,993.26","","-1.75%"
"11/01/2015","2,080.41","2,080.76","2,116.48","2,019.39","","0.05%"
"10/01/2015","2,079.36","1,919.65","2,094.32","1,893.70","","8.30%"
"09/01/2015","1,920.03","1,970.09","2,020.86","1,871.91","","-2.64%"
"08/01/2015","1,972.18","2,104.49","2,112.66","1,867.01","","-6.26%"
"07/01/2015","2,103.84","2,067.00","2,132.82","2,044.02","","1.97%"
"06/01/2015","2,063.11","2,108.64","2,129.87","2,056.32","","-2.10%"
"05/01/2015","2,107.39","2,087.38","2,134.72","2,067.93","","1.05%"
"04/01/2015","2,085.51","2,067.63","2,125.92","2,048.38","","0.85%"
"03/01/2015","2,067.89","2,105.23","2,117.52","2,039.69","","-1.74%"
"02/01/2015","2,104.50","1,996.67","2,119.59","1,980.90","","5.49%"
"01/01/2015","1,994.99","2,058.90","2,072.36","1,988.12","","-3.10%"
"12/01/2014","2,058.90","2,065.78","2,093.55","1,972.56","","-0.42%"
"11/01/2014","2,067.56","2,018.21","2,075.76","2,001.01","","2.45%"
"10/01/2014","2,018.05","1,971.44","2,018.19","1,820.66","","2.32%"
"09/01/2014","1,972.29","2,004.07","2,019.26","1,964.04","","-1.55%"
"08/01/2014","2,003.37","1,929.80","2,005.04","1,904.78","","3.77%"
"07/01/2014","1,930.67","1,962.29","1,991.39","1,930.67","","-1.51%"
"06/01/2014","1,960.23","1,923.87","1,968.17","1,915.98","","1.91%"
"05/01/2014","1,923.57","1,884.39","1,924.03","1,859.79","","2.10%"
"04/01/2014","1,883.95","1,873.96","1,897.28","1,814.36","","0.62%"
"03/01/2014","1,872.34","1,857.68","1,883.97","1,834.44","","0.69%"
"02/01/2014","1,859.45","1,782.68","1,867.92","1,737.92","","4.31%"
"01/01/2014","1,782.60","1,845.90","1,850.80","1,770.50","","-3.56%"
"12/01/2013","1,848.40","1,806.50","1,849.40","1,768.00","","2.36%"
"11/01/2013","1,805.80","1,758.70","1,813.50","1,746.20","","2.81%"
"10/01/2013","1,756.50","1,682.40","1,775.20","1,646.50","","4.46%"
"09/01/2013","1,681.50","1,636.00","1,729.90","1,633.40","","2.97%"
"08/01/2013","1,633.00","1,689.40","1,709.70","1,627.50","","-3.13%"
"07/01/2013","1,685.70","1,609.80","1,698.80","1,604.60","","4.94%"
"06/01/2013","1,606.30","1,631.70","1,654.20","1,560.30","","-1.50%"
"05/01/2013","1,630.70","1,597.50","1,687.20","1,581.30","","2.07%"
"04/01/2013","1,597.60","1,569.20","1,597.60","1,536.00","","1.81%"
"03/01/2013","1,569.20","1,514.70","1,570.30","1,501.50","","3.60%"
"02/01/2013","1,514.70","1,498.10","1,530.90","1,485.00","","1.11%"
"01/01/2013","1,498.10","1,426.20","1,509.90","1,426.20","","5.04%"
"12/01/2012","1,426.20","1,416.30","1,448.00","1,398.10","","0.71%"
"11/01/2012","1,416.20","1,412.20","1,434.30","1,343.30","","0.28%"
"10/01/2012","1,412.20","1,440.90","1,471.00","1,403.30","","-1.98%"
"09/01/2012","1,440.70","1,406.50","1,474.50","1,396.60","","2.42%"
"08/01/2012","1,406.60","1,379.30","1,426.70","1,354.70","","1.98%"
"07/01/2012","1,379.30","1,362.30","1,391.70","1,325.40","","1.26%"
"06/01/2012","1,362.20","1,309.90","1,363.50","1,266.70","","3.96%"
"05/01/2012","1,310.30","1,397.90","1,415.30","1,292.00","","-6.27%"
"04/01/2012","1,397.90","1,408.50","1,422.40","1,357.40","","-0.75%"
"03/01/2012","1,408.50","1,365.90","1,419.20","1,340.00","","3.13%"
"02/01/2012","1,365.70","1,312.50","1,378.00","1,312.50","","4.06%"
"01/01/2012","1,312.40","1,258.90","1,333.50","1,258.90","","4.36%"
"12/01/2011","1,257.60","1,246.90","1,269.40","1,202.40","","0.85%"
"11/01/2011","1,247.00","1,251.00","1,277.50","1,158.70","","-0.50%"
"10/01/2011","1,253.30","1,131.20","1,292.70","1,074.80","","10.77%"
"09/01/2011","1,131.40","1,219.10","1,229.30","1,114.20","","-7.18%"
"08/01/2011","1,218.90","1,292.60","1,307.40","1,101.50","","-5.68%"
